table_name,column_name,data_type,is_nullable,ordinal_position
311_incidents,311_incident_id,INT64,NO,1
311_incidents,neighborhood_id,INT64,NO,2
311_incidents,police_district_id,INT64,NO,3
311_incidents,requested_datetime,TIMESTAMP,NO,4
311_incidents,updated_datetime,TIMESTAMP,YES,5
311_incidents,closed_datetime,TIMESTAMP,YES,6
311_incidents,status_description,STRING,YES,7
311_incidents,status_notes,STRING,YES,8
311_incidents,agency_responsible,STRING,YES,9
311_incidents,service_name,STRING,YES,10
311_incidents,service_subtype,STRING,YES,11
311_incidents,service_details,STRING,YES,12
311_incidents,supervisor_district,INT64,YES,13
311_incidents,lat,FLOAT64,YES,14
311_incidents,long,FLOAT64,YES,15
311_incidents,geometry,STRING,YES,16
311_incidents,source,STRING,YES,17
311_incidents,media_url,STRING,YES,18
311_incidents__staging,311_incident_id,INT64,YES,1
311_incidents__staging,neighborhood_id,INT64,YES,2
311_incidents__staging,police_district_id,INT64,YES,3
311_incidents__staging,requested_datetime,TIMESTAMP,YES,4
311_incidents__staging,updated_datetime,TIMESTAMP,YES,5
311_incidents__staging,closed_datetime,TIMESTAMP,YES,6
311_incidents__staging,status_description,STRING,YES,7
311_incidents__staging,status_notes,STRING,YES,8
311_incidents__staging,agency_responsible,STRING,YES,9
311_incidents__staging,service_name,STRING,YES,10
311_incidents__staging,service_subtype,STRING,YES,11
311_incidents__staging,service_details,STRING,YES,12
311_incidents__staging,supervisor_district,INT64,YES,13
311_incidents__staging,lat,FLOAT64,YES,14
311_incidents__staging,long,FLOAT64,YES,15
311_incidents__staging,geometry,STRING,YES,16
311_incidents__staging,source,STRING,YES,17
311_incidents__staging,media_url,STRING,YES,18
neighborhoods,id,INT64,NO,1
neighborhoods,name,STRING,NO,2
neighborhoods,geometry,STRING,NO,3
police_districts,id,INT64,NO,1
police_districts,name,STRING,NO,2
police_districts,geometry,STRING,NO,3
police_incidents,police_incident_id,STRING,NO,1
police_incidents,neighborhood_id,INT64,YES,2
police_incidents,police_district_id,INT64,YES,3
police_incidents,incident_datetime,TIMESTAMP,YES,4
police_incidents,report_datetime,TIMESTAMP,YES,5
police_incidents,report_type_code,STRING,YES,6
police_incidents,report_type_description,STRING,YES,7
police_incidents,incident_code,STRING,YES,8
police_incidents,incident_category,STRING,YES,9
police_incidents,incident_subcategory,STRING,YES,10
police_incidents,incident_description,STRING,YES,11
police_incidents,resolution,STRING,YES,12
police_incidents,lat,FLOAT64,YES,13
police_incidents,long,FLOAT64,YES,14
police_incidents,point,GEOGRAPHY,YES,15
stops,stop_id,STRING,NO,1
stops,agency_id,STRING,NO,2
stops,stop_name,STRING,YES,3
stops,lat,FLOAT64,NO,4
stops,lon,FLOAT64,NO,5
stops,stop_point,GEOGRAPHY,NO,6
stops,neighborhood_id,INT64,YES,7
stops,police_district_id,INT64,YES,8
stops__stage,stop_id,STRING,NO,1
stops__stage,agency_id,STRING,NO,2
stops__stage,stop_name,STRING,YES,3
stops__stage,lat,FLOAT64,NO,4
stops__stage,lon,FLOAT64,NO,5
stops__stage,stop_point,GEOGRAPHY,NO,6
trip_stops,trip_stop_id,STRING,NO,1
trip_stops,agency_id,STRING,YES,2
trip_stops,trip_id,STRING,YES,3
trip_stops,trip_start_date,DATE,YES,4
trip_stops,trip_start_time,STRING,YES,5
trip_stops,route_id,STRING,YES,6
trip_stops,direction_id,INT64,YES,7
trip_stops,stop_sequence,INT64,YES,8
trip_stops,stop_id,STRING,YES,9
trip_stops,latest_snapshot_ts,TIMESTAMP,YES,10
trip_stops,arrival_time_predicted,TIMESTAMP,YES,11
trip_stops,departure_time_predicted,TIMESTAMP,YES,12
trip_stops,arrival_delay_sec,FLOAT64,YES,13
trip_stops,departure_delay_sec,FLOAT64,YES,14
trip_stops,vp_snapshot_ts,TIMESTAMP,YES,15
trip_stops,vp_timestamp,TIMESTAMP,YES,16
trip_stops,vp_stop_id,STRING,YES,17
trip_stops,vehicle_current_status,FLOAT64,YES,18
trip_stops,vehicle_id,STRING,YES,19
trip_stops,vehicle_label,STRING,YES,20
trip_stops,vehicle_latitude,FLOAT64,YES,21
trip_stops,vehicle_longitude,FLOAT64,YES,22
trip_stops,vehicle_bearing,FLOAT64,YES,23
trip_stops,vehicle_speed,FLOAT64,YES,24
trip_stops,tu_vp_snapshot_delta_sec,FLOAT64,YES,25
trip_stops__stage,agency_id,STRING,YES,1
trip_stops__stage,trip_id,STRING,YES,2
trip_stops__stage,trip_start_date,STRING,YES,3
trip_stops__stage,trip_start_time,INT64,YES,4
trip_stops__stage,route_id,STRING,YES,5
trip_stops__stage,direction_id,INT64,YES,6
trip_stops__stage,stop_sequence,INT64,YES,7
trip_stops__stage,stop_id,STRING,YES,8
trip_stops__stage,latest_snapshot_ts,TIMESTAMP,YES,9
trip_stops__stage,arrival_time_predicted,TIMESTAMP,YES,10
trip_stops__stage,departure_time_predicted,TIMESTAMP,YES,11
trip_stops__stage,arrival_delay_sec,FLOAT64,YES,12
trip_stops__stage,departure_delay_sec,FLOAT64,YES,13
trip_stops__stage,vp_snapshot_ts,TIMESTAMP,YES,14
trip_stops__stage,position_timestamp,TIMESTAMP,YES,15
trip_stops__stage,vp_stop_id,STRING,YES,16
trip_stops__stage,current_status,FLOAT64,YES,17
trip_stops__stage,vehicle_id,STRING,YES,18
trip_stops__stage,vehicle_label,STRING,YES,19
trip_stops__stage,latitude,FLOAT64,YES,20
trip_stops__stage,longitude,FLOAT64,YES,21
trip_stops__stage,bearing,FLOAT64,YES,22
trip_stops__stage,speed,FLOAT64,YES,23
trip_stops__stage,tu_vp_snapshot_delta_sec,FLOAT64,YES,24
